,issue_date,from_git_hash,to_git_hash,message
209,2020-10-26,2597510d,78e70507,Automated update
210,2020-10-27,78e70507,9458c546,Automated update
211,2020-10-28,9458c546,9435b509,Automated update
212,2020-10-29,9435b509,6cde7138,Automated update
213,2020-10-30,6cde7138,26ff8f8b,Update Franklin VA data for 0822-1028
214,2020-10-31,26ff8f8b,24e170d6,Automated update
215,2020-11-01,24e170d6,3d6ea304,Automated update
216,2020-11-02,3d6ea304,5d19cc7d,Automated update
217,2020-11-03,5d19cc7d,1ac567f9,Automated update
218,2020-11-04,1ac567f9,b8c87384,Automated update
219,2020-11-05,b8c87384,e290f21a,Automated update
220,2020-11-06,e290f21a,e8d823ef,Automated update
221,2020-11-07,e8d823ef,578b0560,Automated update
222,2020-11-08,578b0560,70406f3a,Automated update
223,2020-11-09,70406f3a,4067ce97,Automated update
224,2020-11-10,4067ce97,9c381dd2,Automated update
225,2020-11-11,9c381dd2,585e641d,Automated update
226,2020-11-12,585e641d,86c33ff8,Fix Maine 1111
227,2020-11-13,86c33ff8,db88a691,Automated update
228,2020-11-14,db88a691,c32d3616,Automated update
229,2020-11-15,c32d3616,637ce284,Automated update
230,2020-11-16,637ce284,9d81184e,Automated update
231,2020-11-17,9d81184e,83c3e355,Automated update
232,2020-11-18,83c3e355,61e92c1e,Automated update
233,2020-11-19,61e92c1e,325e6105,Automated update
234,2020-11-20,325e6105,b6dd8274,Automated update
235,2020-11-21,b6dd8274,73bb9439,Automated update
236,2020-11-22,73bb9439,9898e249,Automated update
237,2020-11-23,9898e249,2120332b,Automated update
238,2020-11-24,2120332b,27553fa7,Automated update
239,2020-11-25,27553fa7,46aff30c,Automated update
240,2020-11-26,46aff30c,a54f960a,Automated update
241,2020-11-27,a54f960a,839995a2,Automated update
242,2020-11-28,839995a2,3ecbb15f,Automated update
243,2020-11-29,3ecbb15f,402a1083,Automated update
244,2020-11-30,402a1083,b6bf3226,Automated update
245,2020-12-01,b6bf3226,38a1829c,Automated update
246,2020-12-02,38a1829c,8cd1f421,Automated update
247,2020-12-03,8cd1f421,0f63fd22,Automated update
248,2020-12-04,0f63fd22,fb9d33d3,Automated update
249,2020-12-05,fb9d33d3,a86e53ee,Automated update
250,2020-12-06,a86e53ee,b5622532,Automated update
251,2020-12-07,b5622532,09c6c2b7,Automated update
252,2020-12-08,09c6c2b7,81f5d986,Automated update
253,2020-12-09,81f5d986,f28e785b,Update ME 1208
254,2020-12-10,f28e785b,10601d91,Automated update
255,2020-12-11,10601d91,36285bce,Automated update
256,2020-12-12,36285bce,7aa483d1,Automated update
257,2020-12-13,7aa483d1,7a1ff3d2,Automated update
258,2020-12-14,7a1ff3d2,e7ba2d39,Automated update
259,2020-12-15,e7ba2d39,9f2e9c9d,Automated update
260,2020-12-16,9f2e9c9d,62b8a3e1,Automated update
261,2020-12-17,62b8a3e1,8ee16044,Automated update
262,2020-12-18,8ee16044,8ab1f700,Automated update
263,2020-12-19,8ab1f700,50e9a49b,Automated update
264,2020-12-20,50e9a49b,ccf34519,Automated update
265,2020-12-21,ccf34519,fb2c8dc8,Automated update
266,2020-12-22,fb2c8dc8,e3464078,Automated update
267,2020-12-23,e3464078,51351652,Automated update
268,2020-12-24,51351652,2d2f8544,Automated update
269,2020-12-25,2d2f8544,74469a98,Automated update
270,2020-12-26,74469a98,269936d0,Automated update
271,2020-12-27,269936d0,cf51b618,Automated update
272,2020-12-28,cf51b618,e031127d,Automated update
273,2020-12-29,e031127d,3043623b,Automated update
274,2020-12-30,3043623b,46d18eec,Patch NJ data for 1229
275,2020-12-31,46d18eec,4ed3c692,Automated update
276,2021-01-01,4ed3c692,65b26019,Automated update
277,2021-01-02,65b26019,e63a39ad,Automated update
278,2021-01-03,e63a39ad,dc1a2739,Automated update
279,2021-01-04,dc1a2739,8373e08f,Automated update
280,2021-01-05,8373e08f,6b69ada1,Automated update
281,2021-01-06,6b69ada1,ecb72d90,Automated update
282,2021-01-07,ecb72d90,4ade8d59,Automated update
283,2021-01-08,4ade8d59,c5a126f9,Automated update for delayed data
284,2021-01-09,c5a126f9,ef4081f6,Automated update
285,2021-01-10,ef4081f6,63bb2e4c,Automated update for delayed data
286,2021-01-11,63bb2e4c,28b389ea,Automated update for delayed data
287,2021-01-12,28b389ea,bbebd1ee,Automated update for delayed data
288,2021-01-13,bbebd1ee,5ab5c32a,Automated update for delayed data
289,2021-01-14,5ab5c32a,c2642356,Automated update for delayed data
290,2021-01-15,c2642356,cbc5db58,Automated update for delayed data
291,2021-01-16,cbc5db58,7074c294,Automated update for delayed data
292,2021-01-17,7074c294,d6a1c0c7,Automated update for delayed data
293,2021-01-18,d6a1c0c7,abc48d1c,Automated update for delayed data
294,2021-01-19,abc48d1c,0b0b2bfc,Automated update for delayed data
295,2021-01-20,0b0b2bfc,657fc59b,Automated update for delayed data
296,2021-01-21,657fc59b,6f129009,Automated update for delayed data for US
297,2021-01-22,6f129009,05d073b3,Automated update
298,2021-01-23,05d073b3,b69f43b4,Automated update for delayed data for US
299,2021-01-24,b69f43b4,bbebdbf9,Automated update for delayed data for US
300,2021-01-25,bbebdbf9,f1e94b4f,Automated update for delayed data for US
301,2021-01-26,f1e94b4f,7719347b,Automated update for delayed data for US
302,2021-01-27,7719347b,62d9737c,Automated update for delayed data for US
303,2021-01-28,62d9737c,377d891e,Automated update
304,2021-01-29,377d891e,4787749f,Automated update for delayed data for US
305,2021-01-30,4787749f,b626642e,Automated update for delayed data for US
306,2021-01-31,b626642e,cb510847,Automated update for delayed data for US
307,2021-02-01,cb510847,0893fac0,Automated update for delayed data for US
308,2021-02-02,0893fac0,0b71a3c1,Automated update for delayed data for US
309,2021-02-03,0b71a3c1,3e60407f,Automated update for delayed data for US
310,2021-02-04,3e60407f,ed25e195,Automated update for delayed data for US
311,2021-02-05,ed25e195,ec122db0,Automated update for delayed data for US
312,2021-02-06,ec122db0,e0f2ecb8,Automated update for delayed data for US
313,2021-02-07,e0f2ecb8,434fcb88,Automated update for delayed data for US
314,2021-02-08,434fcb88,3790e448,Automated update for delayed data for US
315,2021-02-09,3790e448,a7410b42,Automated update for delayed data for US
316,2021-02-10,a7410b42,51c5da60,Automated update for delayed data for US
317,2021-02-11,51c5da60,281ad1c7,Automated update for delayed data for US
318,2021-02-12,281ad1c7,cd23e90e,Automated update for delayed data for US
319,2021-02-13,cd23e90e,4b04ff95,Automated update for delayed data for US
320,2021-02-14,4b04ff95,bb3ad9f6,Automated update for delayed data for US
321,2021-02-15,bb3ad9f6,2fd7b95d,Automated update for delayed data for US
322,2021-02-16,2fd7b95d,32208f91,Automated update for delayed data for US
323,2021-02-17,32208f91,a7b6df19,Automated update for delayed data for US
324,2021-02-18,a7b6df19,4fa22a02,Automated update for delayed data for US
325,2021-02-19,4fa22a02,27be1120,Automated update for delayed data for US
326,2021-02-20,27be1120,b17241af,Automated update for delayed data for US
327,2021-02-21,b17241af,45d0d326,Automated update for delayed data for US
328,2021-02-22,45d0d326,6b099a19,Automated update for delayed data for US
329,2021-02-23,6b099a19,7ddf8877,Automated update for delayed data for US
330,2021-02-24,7ddf8877,599770a2,Automated update for delayed data for US
331,2021-02-25,599770a2,e460b41d,Automated update for delayed data for US
332,2021-02-26,e460b41d,b7b09ea8,Automated update for delayed data for US
333,2021-02-27,b7b09ea8,9ab8c6bb,Automated update
334,2021-02-28,9ab8c6bb,23c33630,Automated update
335,2021-03-01,23c33630,5bd25b83,Automated update
336,2021-03-02,5bd25b83,62610e45,Automated update for delayed data for US
337,2021-03-03,62610e45,bb567853,Automated update for delayed data for US
338,2021-03-04,bb567853,3658ebc4,Automated update for delayed data for US
339,2021-03-05,3658ebc4,1711d298,Automated update for delayed data for US
340,2021-03-06,1711d298,4e6a266e,Automated update for delayed data for US
341,2021-03-07,4e6a266e,7eae19d2,Automated update for delayed data for US
342,2021-03-08,7eae19d2,5d504d94,"Revert ""Delayed automated update for US on 03-07-2021"""
343,2021-03-09,5d504d94,13787277,"Revert ""Delayed automated update for US on 03-08-2021"""
344,2021-03-10,13787277,af8c73a1,Automated update for delayed data for US
345,2021-03-11,af8c73a1,7533d19f,Automated update for delayed data for US
346,2021-03-12,7533d19f,95cae3ca,Automated update for delayed data for US
347,2021-03-13,95cae3ca,721ab4eb,Automated update for delayed data for US
348,2021-03-14,721ab4eb,75f8696f,Automated update for delayed data for US
349,2021-03-15,75f8696f,35a33112,Automated update for delayed data for US
350,2021-03-16,35a33112,d3f2e6fd,Automated update for delayed data for US
351,2021-03-17,d3f2e6fd,d51a4427,Automated update for delayed data for US
352,2021-03-18,d51a4427,264ed320,Automated update for delayed data for US
353,2021-03-19,264ed320,847ae5cc,Automated update for delayed data for US
354,2021-03-20,847ae5cc,bceda261,Automated update for delayed data for US
355,2021-03-21,bceda261,4a7bde41,Automated update for delayed data for US
356,2021-03-22,4a7bde41,21a4c97d,Automated update for delayed data for US
357,2021-03-23,21a4c97d,0b1219a4,Automated update for delayed data for US
358,2021-03-24,0b1219a4,7f5b6716,Automated update for delayed data for US
359,2021-03-25,7f5b6716,73121a70,Automated update for delayed data for US
360,2021-03-26,73121a70,1ce39d63,Automated update
361,2021-03-27,1ce39d63,73ac7776,Automated update for delayed data for US
362,2021-03-28,73ac7776,09637b20,Automated update for delayed data for US
363,2021-03-29,09637b20,4de43e93,Automated update for delayed data for US
364,2021-03-30,4de43e93,5cf66c03,Automated update for delayed data for US
365,2021-03-31,5cf66c03,ff03e545,Automated update for delayed data for US
366,2021-04-01,ff03e545,a869fae6,patch AK data
367,2021-04-02,a869fae6,703c4e75,Automated update for delayed data for US
368,2021-04-03,703c4e75,d8a39521,Automated update for delayed data for US
369,2021-04-04,d8a39521,d7980772,Automated update
370,2021-04-05,d7980772,52da5073,Automated update
371,2021-04-06,52da5073,f8b58952,Automated update for delayed data for US
372,2021-04-07,f8b58952,7dea51da,Automated update for delayed data for US
373,2021-04-08,7dea51da,ff825fd0,Automated update for delayed data for US
374,2021-04-09,ff825fd0,485bb150,Automated update for delayed data for US
375,2021-04-10,485bb150,da3f3ec0,Automated update for delayed data for US
376,2021-04-11,da3f3ec0,14965eed,Automated update for delayed data for US
377,2021-04-12,14965eed,8f18ccda,Automated update for delayed data for US
378,2021-04-13,8f18ccda,ede6ea54,Automated update for delayed data for US
379,2021-04-14,ede6ea54,c8cb7b02,Automated update for delayed data for US
380,2021-04-15,c8cb7b02,934eef04,Automated update for delayed data for US
381,2021-04-16,934eef04,4aadfa52,Automated update for delayed data for US
382,2021-04-17,4aadfa52,ba444d6c,Automated update for delayed data for US
383,2021-04-18,ba444d6c,4196eb7b,Automated update for delayed data for US
384,2021-04-19,4196eb7b,5275e567,Automated update for delayed data for US
385,2021-04-20,5275e567,d78b37a0,Automated update for delayed data for US
386,2021-04-21,d78b37a0,cb5c5966,Automated update for delayed data for US
387,2021-04-22,cb5c5966,5bcc253c,Automated update for delayed data for US
388,2021-04-23,5bcc253c,003c4017,Automated update for delayed data for US
389,2021-04-24,003c4017,02fd83a3,Automated update
390,2021-04-25,02fd83a3,b898ffce,Automated update for delayed data for US
391,2021-04-26,b898ffce,fef1ea17,Automated update for delayed data for US
392,2021-04-27,fef1ea17,5a32b5f4,Automated update for delayed data for US
393,2021-04-28,5a32b5f4,1cc4046b,Automated update for delayed data for US
394,2021-04-29,1cc4046b,ce48a892,Automated update for delayed data for US
395,2021-04-30,ce48a892,e8781819,Automated update for delayed data for US
396,2021-05-01,e8781819,cac9ee80,Automated update for delayed data for US
397,2021-05-02,cac9ee80,e3effdc8,Automated update for delayed data for US
398,2021-05-03,e3effdc8,cf832ed0,Automated update for delayed data for US
399,2021-05-04,cf832ed0,5c7b9d03,Automated update for delayed data for US
400,2021-05-05,5c7b9d03,a393ebb3,Automated update for delayed data for US
401,2021-05-06,a393ebb3,51cb3eeb,Automated update for delayed data for US
402,2021-05-07,51cb3eeb,e96c7ce9,Automated update for delayed data for US
403,2021-05-08,e96c7ce9,ae0625da,Automated update for delayed data for US
404,2021-05-09,ae0625da,1743a79c,Automated update for delayed data for US
405,2021-05-10,1743a79c,0502622a,Automated update for delayed data for US
406,2021-05-11,0502622a,371e9b5d,Automated update for delayed data for US
407,2021-05-12,371e9b5d,09ab8ae9,Automated update for delayed data for US
408,2021-05-13,09ab8ae9,ca659095,Automated update for delayed data for US
409,2021-05-14,ca659095,ac7caee8,Automated update
410,2021-05-15,ac7caee8,678c8370,Automated update for delayed data for US
411,2021-05-16,678c8370,803ad653,Automated update for delayed data for US
412,2021-05-17,803ad653,1320b47f,Automated update for delayed data for US
413,2021-05-18,1320b47f,bd8171f9,"Patch Hampden, MA for 2021-05-17"
414,2021-05-19,bd8171f9,dac27b87,Automated update for delayed data for US
415,2021-05-20,dac27b87,47729603,Automated update for delayed data for US
416,2021-05-21,47729603,2385b6e2,Automated update for delayed data for US
417,2021-05-22,2385b6e2,0e18f500,Automated update for delayed data for US
418,2021-05-23,0e18f500,f8db94ae,Automated update for delayed data for US
419,2021-05-24,f8db94ae,aa11f22c,Automated update for delayed data for US
420,2021-05-25,aa11f22c,f5d8c94d,Hold older NM data stale and adjust with Unassigned
421,2021-05-26,f5d8c94d,a3a46ad5,Automated update for delayed data for US
422,2021-05-27,a3a46ad5,85c40814,Automated update for delayed data for US
423,2021-05-28,85c40814,5176fcf4,Automated update for delayed data for US
424,2021-05-29,5176fcf4,75f7651a,Automated update for delayed data for US
425,2021-05-30,75f7651a,7a1d05c9,Automated update for delayed data for US
426,2021-05-31,7a1d05c9,3fef5667,Automated update for delayed data for US
427,2021-06-01,3fef5667,81cb9954,Automated update for delayed data for US
428,2021-06-02,81cb9954,c4bae41b,Automated update for delayed data for US
429,2021-06-03,c4bae41b,47d1c69e,Automated update for delayed data for US
430,2021-06-04,47d1c69e,dd750b3b,Automated update for delayed data for US
431,2021-06-05,dd750b3b,9b2ee63b,Automated update for delayed data for US
432,2021-06-06,9b2ee63b,e0daeffa,Automated update for delayed data for US
433,2021-06-07,e0daeffa,191c1d87,Automated update for delayed data for US
434,2021-06-08,191c1d87,0ec50509,Automated update for delayed data for US
435,2021-06-09,0ec50509,8714ccd5,Automated update
436,2021-06-10,8714ccd5,fceaa350,Automated update
437,2021-06-11,fceaa350,dd1e3f39,Automated update
438,2021-06-12,dd1e3f39,16d358e6,Automated update
